EventID,Sample ID,Locality,Station,Dive #,Photo #,LatitudeInDD,LongitudeInDD,DepthInMeters,Temperature,Salinity,Oxygen,ObservationDate,ObservationTime,ImageFilePath,ScientificName,VerbatimScientificName,AphiaID,VernacularName,IdentificationComment,IndividualCount,Density (colony/m²),PercentCover,Size,Condition,AssociatedTaxa,Habitat,Substrate
627,627010,Elvers Bank,ELV8-T1,627,10,27.8131455,-91.090245,145,,,,7/22/2018 0:00,10:54:45,Dive 627_0010_105445,Bebryce sp.,,,,,7,1.0769230769230769,,,,,Soft bottom,Soft bottom
627,627010,Elvers Bank,ELV8-T1,627,10,27.8131455,-91.090245,145,,,,7/22/2018 0:00,10:54:45,Dive 627_0010_105445,Elatopathes abietina,,,,,2,0.3076923076923077,,,,,Soft bottom,Soft bottom
627,627010,Elvers Bank,ELV8-T1,627,10,27.8131455,-91.090245,145,,,,7/22/2018 0:00,10:54:45,Dive 627_0010_105445,Nicella sp. ,,,,,12,1.8461538461538463,,,,,Soft bottom,Soft bottom
627,627011,Elvers Bank,ELV8-T1,627,11,27.8131455,-91.090245,145,,,,7/22/2018 0:00,10:54:54,Dive 627_0011_105454,Elatopathes abietina,,,,,3,0.46153846153846156,,,,,Soft bottom,Soft bottom
627,627011,Elvers Bank,ELV8-T1,627,11,27.8131455,-91.090245,145,,,,7/22/2018 0:00,10:54:54,Dive 627_0011_105454,Nicella sp. ,,,,,31,4.769230769230769,,,,,Soft bottom,Soft bottom
627,627011,Elvers Bank,ELV8-T1,627,11,27.8131455,-91.090245,145,,,,7/22/2018 0:00,10:54:54,Dive 627_0011_105454,Plexauridae,,,Muriceides sp./Placogorgia sp. complex,,1,0.15384615384615385,,,,,Soft bottom,Soft bottom
627,627013,Elvers Bank,ELV8-T1,627,13,27.8131455,-91.090245,145,,,,7/22/2018 0:00,10:55:08,Dive 627_0013_105508,Elatopathes abietina,,,,,6,0.9230769230769231,,,,,Soft bottom,Soft bottom
627,627013,Elvers Bank,ELV8-T1,627,13,27.8131455,-91.090245,145,,,,7/22/2018 0:00,10:55:08,Dive 627_0013_105508,Nicella sp. ,,,,,29,4.461538461538462,,,,,Soft bottom,Soft bottom
627,627013,Elvers Bank,ELV8-T1,627,13,27.8131455,-91.090245,145,,,,7/22/2018 0:00,10:55:08,Dive 627_0013_105508,Scleractinia ,,,,Branching stony coral,1,0.15384615384615385,,,,,Soft bottom,Soft bottom
627,627014,Elvers Bank,ELV8-T1,627,14,27.8131455,-91.090245,145,,,,7/22/2018 0:00,10:55:18,Dive 627_0014_105518,Elatopathes abietina,,,,,11,1.6923076923076923,,,,,Soft bottom,Soft bottom
627,627014,Elvers Bank,ELV8-T1,627,14,27.8131455,-91.090245,145,,,,7/22/2018 0:00,10:55:18,Dive 627_0014_105518,Nicella sp. ,,,,,21,3.230769230769231,,,,,Soft bottom,Soft bottom
627,627014,Elvers Bank,ELV8-T1,627,14,27.8131455,-91.090245,145,,,,7/22/2018 0:00,10:55:18,Dive 627_0014_105518,Plexauridae,,,Muriceides sp./Placogorgia sp. complex,,1,0.15384615384615385,,,,,Soft bottom,Soft bottom
