EventID,Locality,Station,SampleID,LatitudeInDD,LongitudeInDD,DepthInMeters,Temperature,Salinity,Oxygen,Observer,ObservationDate,ObservationTime,Photo area (m),ImageFilePath,ScientificName,AphiaID,VernacularName,IdentificationComment,IndividualCount,Density,PercentCover,Size,Condition,AssociatedTaxa,Habitat,Substrate
DFH33 Dive548,Bright Bank,Outside FGBNMS,Dive 548009 07 56 10.jpg,27.85126462,-93.274039,,,,,Marissa Nuttall,,7:56:10,0.99,,Echinoidea,,SB1,Echinodermata,1,1.0101010101010102,,,,,Soft Substrate,Silt
DFH33 Dive548,Bright Bank,Outside FGBNMS,Dive 548010 07 57 46.jpg,27.85125445,-93.27415642,,,,,Marissa Nuttall,,7:57:46,2.26,,Ellisella sp.,,,Cnidaria,2,0.8849557522123894,,,,,Soft Substrate,Silt
DFH33 Dive548,Bright Bank,Outside FGBNMS,Dive 548010 07 57 46.jpg,27.85125445,-93.27415642,,,,,Marissa Nuttall,,7:57:46,2.26,,Crinoidea,,CRND1,Echinodermata,1,0.4424778761061947,,,,,Soft Substrate,Silt
DFH33 Dive548,Bright Bank,Outside FGBNMS,Dive 548010 07 57 46.jpg,27.85125445,-93.27415642,,,,,Marissa Nuttall,,7:57:46,2.26,,Crinoidea,,CRND12,Echinodermata,1,0.4424778761061947,,,,,Soft Substrate,Silt
DFH33 Dive548,Bright Bank,Outside FGBNMS,Dive 548010 07 57 46.jpg,27.85125445,-93.27415642,,,,,Marissa Nuttall,,7:57:46,2.26,,Nicella sp. ,,,Cnidaria,3,1.3274336283185841,,,,,Soft Substrate,Silt
DFH33 Dive548,Bright Bank,Outside FGBNMS,Dive 548010 07 57 46.jpg,27.85125445,-93.27415642,,,,,Marissa Nuttall,,7:57:46,2.26,,Ophiuroidea,,BrS4,Echinodermata,1,0.4424778761061947,,,,,Soft Substrate,Silt
DFH33 Dive548,Bright Bank,Outside FGBNMS,Dive 548011 07 58 02.jpg,27.8511959,-93.27425528,,,,,Marissa Nuttall,,7:58:02,0.76,,Nicella sp. ,,,Cnidaria,1,1.3157894736842106,,,,,Soft Substrate,Silt
DFH33 Dive548,Bright Bank,Outside FGBNMS,Dive 548011 07 58 02.jpg,27.8511959,-93.27425528,,,,,Marissa Nuttall,,7:58:02,0.76,,Antipathes furcata,,,Cnidaria,2,2.6315789473684212,,,,,Soft Substrate,Silt
DFH33 Dive548,Bright Bank,Outside FGBNMS,Dive 548011 07 58 02.jpg,27.8511959,-93.27425528,,,,,Marissa Nuttall,,7:58:02,0.76,,Crinoidea,,CRND6,Echinodermata,1,1.3157894736842106,,,,,Soft Substrate,Silt
DFH33 Dive548,Bright Bank,Outside FGBNMS,Dive 548011 07 58 02.jpg,27.8511959,-93.27425528,,,,,Marissa Nuttall,,7:58:02,0.76,,Crinoidea,,CRND7,Echinodermata,1,1.3157894736842106,,,,,Soft Substrate,Silt
